"index","id","roblox_assetid","roblox_rap","roblox_value","robux_volume_30d_total","popularity_position","is_valued","is_rare","is_projected","roblox_name","roblox_acronym","roblox_lowestprice","price_updated_at","went_limited_at"
113,131,321346550,199909,600000,0,1232,true,true,false,":( Front Stand","FS",920000,2023-08-03 01:22:38.837,2015-11-19 21:21:53.610
114,188,1235488,665659,600000,5736612,2399,true,false,false,"Clockwork's Headphones","CWHP",730000,2023-08-07 06:22:08.766,2011-11-23 06:00:00.000
115,2091,69226736,90011,550000,0,1580,true,true,false,"New Years Crown 2012","NYC",9.99999999999999e+14,2023-06-08 23:55:00.731,2012-01-03 00:36:16.693
116,101,49493376,435895,530000,0,1888,true,true,false,"Eyes of Crimsonwrath","EoC",879000,2023-07-25 12:35:20.294,2011-04-09 01:32:16.000
117,104,93136746,320841,530000,0,696,true,true,false,"Telamonster: the Chaos Edge","Tela",1500000,2023-08-07 07:17:31.142,2012-09-20 00:50:54.777
118,292,74891470,514850,530000,4714107,2471,true,false,false,"Frozen Horns of the Frigid Planes","Frozen",571175,2023-08-07 01:12:10.142,2018-11-25 06:00:00.000
119,146,17999992,382936,510000,0,2282,true,true,false,"Eyes of Azurewrath","EoA",899999,2023-07-16 01:11:26.103,2009-11-13 19:59:14.563
120,132,17109706,199909,500000,0,671,true,true,false,"Azurewrath, Lord of the Void","LotV",2000000,2023-08-05 03:20:26.224,2009-10-19 17:38:33.277
121,201,158069180,279691,500000,0,1221,true,true,false,"Dual Venomshanks","DVS",900000,2023-08-06 19:31:31.686,2014-05-22 18:38:47.140
122,97,55909280,145954,500000,0,1298,true,true,false,"Ops Warrior","Ops",0,2023-06-02 14:29:39.573,2011-07-08 22:39:07.437
123,162,527365852,539122,500000,3766943,2416,true,false,false,"Dominus Praefectus","Prae",576000,2023-08-07 14:00:01.740,2017-05-27 05:00:00.000
124,128,215719463,119090,490000,0,1945,true,true,false,"Chronomalum: The Wicked Helm","Malum",1699999,2023-08-02 00:19:37.565,2015-02-13 23:28:07.807
125,105,40493240,353380,490000,0,2118,true,true,false,"Magnaspectro Inspectors","Mags",630000,2023-08-03 09:53:07.505,2011-03-21 05:00:00.000
126,151,68258723,502847,490000,700000,2153,true,false,false,"Bluesteel Domino Crown","BSDC",699999,2023-08-06 22:06:36.107,2014-06-24 05:00:00.000
